Voting ID,Voting Date,Voting PDF URL,Expected number of Target Votes
81-175,30.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_175,244
81-176,30.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_176,242
81-177,30.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_177,245
81-178,30.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_178,245
81-179,30.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_179,245
81-180,30.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_180,245
81-181,30.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_181,245
81-182,30.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_182,243
81-183,30.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_183,244
80-1,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_1,447
80-2,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_2,447
80-3,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_3,443
80-4,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_4,450
80-5,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_5,448
80-6,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_6,441
80-7,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_7,440
80-8,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_8,441
80-9,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_9,450
80-10,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_10,448
80-11,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_11,449
80-12,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_12,449
80-13,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_13,451
80-14,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_14,448
80-15,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_15,449
80-16,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_16,451
80-17,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_17,437
80-18,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_18,443
80-19,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_19,450
